Year ,Speices,Label,Crawl Fate
2007,2,1,0
2007,2,1,1
2007,2,1,1
2007,2,1,1
2007,2,1,0
2007,2,1,0
2007,2,1,0
2007,2,1,1
2007,2,1,1
2007,2,1,0
2007,2,1,0
2007,2,1,0
2007,2,1,0
2007,2,1,0
2007,2,1,0
2007,2,1,1
2007,2,1,1
2007,2,1,0
2007,2,1,0
2007,2,1,0
2007,2,1,0
2007,2,1,0
2007,2,1,0
2007,2,1,0
2007,2,1,1
2007,2,1,0
2007,2,1,1
2007,2,1,0
2007,2,1,0
2007,2,1,0
2007,2,1,1
2007,2,1,0
2007,2,1,0
2007,2,1,1
2007,2,1,1
2007,2,1,0
2007,2,1,0
2007,2,1,0
2007,2,1,0
2007,2,1,0
2007,2,1,0
2007,2,1,0
2007,2,1,0
2007,2,1,1
2007,2,1,0
2007,2,1,1
2007,2,1,0
2007,2,1,1
2007,2,1,1
2007,2,1,1
2007,2,1,0
2007,2,1,1
2007,2,1,1
2007,2,1,1
2007,2,1,1
2007,2,1,1
2007,2,1,1
2007,2,1,1
2007,2,1,0
2007,2,1,0
2007,2,1,1
2007,2,1,1
2007,2,1,1
2007,2,1,0
2007,2,1,0
2007,2,1,0
2007,2,1,0
2007,2,1,0
2007,2,1,1
2007,2,1,1
2007,2,1,0
2007,2,1,0
2007,2,1,0
2007,2,1,0
2007,2,1,1
2007,2,1,1
2007,2,1,1
2007,2,1,0
2007,2,1,0
2007,2,1,1
2007,2,1,1
2007,2,1,1
2007,2,1,0
2007,2,1,0
2007,2,1,0
2007,2,1,0
2007,2,1,0
2007,2,1,0
2007,2,1,0
2007,2,1,0
2007,2,1,1
2007,2,1,1
2007,2,1,0
2007,2,1,1
2007,2,1,1
2007,2,1,0
2007,2,1,0
2007,2,1,0
2007,2,1,0
2007,2,1,1
2007,2,1,1
2007,2,1,0
2007,2,1,0
2007,2,1,1
2007,2,1,1
2007,2,1,1
2007,2,1,0
2007,2,1,0
2007,2,1,0
2007,2,1,1
2007,2,1,0
2007,2,1,0
2007,2,1,0
2007,2,1,0
2007,2,1,1
2007,2,1,1
2007,2,1,1
2007,2,1,1
2007,2,1,0
2007,2,1,0
2007,2,1,0
2007,2,1,1
2007,2,1,0
2007,2,1,0
2007,2,1,0
2007,2,1,1
2007,2,1,1
2007,2,1,1
2007,2,1,0
2007,2,1,0
2007,2,1,1
2007,2,1,0
2007,2,1,0
2007,2,1,0
2007,2,1,0
2007,2,1,1
2007,2,1,1
2007,2,1,1
2007,2,1,0
2007,2,1,0
2007,2,1,1
2007,2,1,0
2007,2,1,1
2007,2,1,0
2007,2,1,1
2007,2,1,0
2007,2,1,0
2007,2,1,1
2007,2,1,1
2007,2,1,1
2007,2,1,1
2007,2,1,0
2007,2,1,0
2007,2,1,1
2007,2,1,0
2007,2,1,0
2007,2,1,1
2007,2,1,0
2007,2,1,0
2007,2,1,1
2007,2,1,0
2007,2,1,0
2007,2,1,0
2007,2,1,0
2007,2,1,0
2007,2,1,0
2007,2,1,0
2007,2,1,0
2007,2,1,0
2007,2,1,1
2007,2,1,1
2007,2,1,1
2007,2,1,0
2007,2,1,0
2007,2,1,1
2007,2,1,0
2007,2,1,0
2007,2,1,1
2007,2,1,1
2007,2,1,1
2007,2,1,0
2007,2,1,1
2007,2,1,0
2007,2,1,0
2007,2,1,1
2007,2,1,1
2007,2,1,0
2007,2,1,1
2007,2,1,1
2007,2,1,1
2007,2,1,0
2007,2,1,0
2007,2,1,1
2007,2,1,0
2007,2,1,1
2007,2,1,1
2007,2,1,1
2007,2,1,1
2007,2,1,0
2007,2,1,1
2007,2,1,1
2007,2,1,1
2007,2,1,1
2007,2,1,0
2007,2,1,1
2007,2,1,1
2007,2,1,1
2007,2,1,0
2007,2,1,0
2007,2,1,0
2007,2,1,1
2007,2,1,0
2007,2,1,0
2007,2,1,0
2008,2,1,1
2008,2,1,0
2008,2,1,0
2008,2,1,0
2008,2,1,1
2008,2,1,1
2008,2,1,0
2008,2,1,1
2008,2,1,0
2008,2,1,0
2008,2,1,1
2008,2,1,0
2008,2,1,0
2008,2,1,1
2008,2,1,0
2008,2,1,0
2008,2,1,0
2008,2,1,0
2008,2,1,0
2008,2,1,0
2008,2,1,0
2008,2,1,1
2008,2,1,1
2008,2,1,1
2008,2,1,1
2008,2,1,1
2008,2,1,1
2008,2,1,1
2008,2,1,1
2008,2,1,1
2008,2,1,0
2008,2,1,0
2008,2,1,1
2008,2,1,1
2008,2,1,0
2008,2,1,0
2008,2,1,1
2008,2,1,1
2008,2,1,1
2008,2,1,0
2008,2,1,0
2008,2,1,0
2008,2,1,1
2008,2,1,1
2008,2,1,1
2008,2,1,1
2008,2,1,1
2008,2,1,0
2008,2,1,0
2008,2,1,0
2008,2,1,0
2008,2,1,1
2008,2,1,0
2008,2,1,1
2008,2,1,1
2008,2,1,1
2008,2,1,1
2008,2,1,1
2008,2,1,0
2008,2,1,0
2008,2,1,0
2008,2,1,1
2008,2,1,1
2008,2,1,1
2008,2,1,1
2008,2,1,0
2008,2,1,1
2008,2,1,1
2008,2,1,1
2008,2,1,0
2008,2,1,0
2008,2,1,0
2008,2,1,1
2008,2,1,1
